incident_id,incident_label,regulation_id,regulation_label,classification,cosine,linked_by_threshold
CASE_bukalapak-13m-2019,BUKALAPAK-13M-2019 - Maret 2019 Gnosticplayers menjual batch keemp...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.1172,0
CASE_bhinneka-1-2m-2020,BHINNEKA-1-2M-2020 - Bhinneka.com dibobol pada 27 Januari 2020; Ju...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.0691,0
CASE_lazada-redmart-1-1m-2020,LAZADA-REDMART-1-1M-2020 - Pada 29 Oktober 2020 Lazada menemukan akses i...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.1215,0
CASE_indihome-browsing-26m-2022,INDIHOME-BROWSING-26M-2022 - Agustus 2022 'Bjorka' memuat dataset 26.730.7...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.2305,0
CASE_myindihome-35m-2023,MYINDIHOME-35M-2023 - Awal Juli 2023 'Bjorka' menawarkan ~35;9 juta...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.1950,0
CASE_pln-customer-data-leak-2022,PLN-CUSTOMER-DATA-LEAK-2022 - Agustus 2022 data >17 juta pelanggan PLN dita...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.3193,0
CASE_mypertamina-44m-2022,MYPERTAMINA-44M-2022 - November 2022 dataset yang diatribusikan ke M...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.2491,0
CASE_jasamarga-jmto-breach-2022,JASAMARGA-JMTO-BREACH-2022 - Pada 25 Agustus 2022 DESORDEN mengumumkan mem...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.2514,0
CASE_kai-stormous-ransomware-2024,KAI-STORMOUS-RANSOMWARE-2024 - Januari 2024 Stormous mengklaim membobol PT K...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.3345,0
CASE_malindo-lionair-30m-2019,MALINDO-LIONAIR-30M-2019 - September 2019 data penumpang anak usaha Lion...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.1144,0
CASE_prabowo-deepfake-aid-scam-2024,PRABOWO-DEEPFAKE-AID-SCAM-2024 - Mulai ~Desember 2024 penipu menyebar video de...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.2904,0
CASE_undip-deepfake-ncii-2025,UNDIP-DEEPFAKE-NCII-2025 - Seorang mahasiswa hukum Undip diam-diam memot...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.2335,0
CASE_suharto-deepfake-golkar-2024,SUHARTO-DEEPFAKE-GOLKAR-2024 - Pada 6 Januari 2024 Erwin Aksa mengunggah ke ...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.1576,0
CASE_election-candidate-deepfakes-2024,ELECTION-CANDIDATE-DEEPFAKES-2024 - Menjelang Pemilu 14 Februari 2024; video deep...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.1464,0
CASE_sri-mulyani-deepfake-2025,SRI-MULYANI-DEEPFAKE-2025 - Pertengahan Agustus 2025 sebuah deepfake mema...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.3403,0
CASE_ojk-ai-voice-deepfake-fraud-2025,OJK-AI-VOICE-DEEPFAKE-FRAUD-2025 - OJK melaporkan dua metode penipuan AI paling ...,IDN_PP_PSTE_No71_2019_Pasal_77,PP_PSTE_No71_2019 - Pasal 77,Natl: Binding Law,0.2294,0
CASE_pdns2-surabaya-ransomware-2024,PDNS2-SURABAYA-RANSOMWARE-2024 - Pada 20 Juni 2024 PDNS 2 Surabaya dienkripsi ...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1530,0
CASE_bkn-asn-leak-topiax-2024,BKN-ASN-LEAK-TOPIAX-2024 - Pada 10 Agustus 2024 pengguna BreachForums 'T...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.2286,0
CASE_bkn-teacher-intrusion-2024,BKN-TEACHER-INTRUSION-2024 - Pada September 2024 polisi menangkap seorang ...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1245,0
CASE_kpu-dpt-jimbo-2023,KPU-DPT-JIMBO-2023 - Sekitar 27-28 November 2023 'Jimbo' menawarka...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1401,0
CASE_bjorka-sim-registration-1-3b-2022,BJORKA-SIM-REGISTRATION-1-3B-2022 - Pada 31 Agustus-1 September 2022 'Bjorka' men...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1115,0
CASE_immigration-passport-leak-2023,IMMIGRATION-PASSPORT-LEAK-2023 - Pada 5 Juli 2023 peneliti Teguh Aprianto mela...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.2177,0
CASE_npwp-tax-bjorka-2024,NPWP-TAX-BJORKA-2024 - Pada 18 September 2024 'Bjorka' menawarkan ~6...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.3231,0
CASE_bais-tni-intelligence-leak-2024,BAIS-TNI-INTELLIGENCE-LEAK-2024 - Sekitar 24-27 Juni 2024 'MoonzHaxor' mengklai...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.2039,0
CASE_inafis-polri-fingerprint-leak-2024,INAFIS-POLRI-FINGERPRINT-LEAK-2024 - Pada 22 Juni 2024 'MoonzHaxor' mengunggah dat...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.2249,0
CASE_pedulilindungi-jokowi-cert-2021,PEDULILINDUNGI-JOKOWI-CERT-2021 - Awal September 2021 sertifikat vaksin Preside...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.2598,0
CASE_kemenkes-patient-records-2022,KEMENKES-PATIENT-RECORDS-2022 - Pada 6 Januari 2022 Kemenkes mengakui menyeli...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1243,0
CASE_bpjs-kesehatan-279m-2021,BPJS-KESEHATAN-279M-2021 - Pada Mei 2021 akun RaidForums 'Kotz' menjual ...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0853,0
CASE_ehac-covid-app-leak-2021,EHAC-COVID-APP-LEAK-2021 - Pada 15 Juli 2021 tim vpnMentor menemukan bas...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1268,0
CASE_wannacry-hospitals-2017,WANNACRY-HOSPITALS-2017 - Pada pertengahan Mei 2017; saat wabah WannaCr...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1022,0
CASE_pedulilindungi-id-gambling-hijack-2025,PEDULILINDUNGI-ID-GAMBLING-HIJACK-2025 - Sekitar 19-20 Mei 2025 situs legacy PeduliLin...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0333,0
CASE_satusehat-kotim-breach-2025,SATUSEHAT-KOTIM-BREACH-2025 - Sekitar 7 Agustus 2025 pengguna baru forum da...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,-0.0060,0
CASE_kemendikbud-leak-claim-2025,KEMENDIKBUD-LEAK-CLAIM-2025 - Awal Februari 2025 anggota BreachForums (teri...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.2813,0
CASE_kejaksaan-agung-defacement-2025,KEJAKSAAN-AGUNG-DEFACEMENT-2025 - Pada Februari 2025 situs resmi Kejaksaan Agun...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1864,0
CASE_ugm-ft-website-defacement-2022,UGM-FT-WEBSITE-DEFACEMENT-2022 - Pada Desember 2022 peretas beralias 'Bangsin'...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0355,0
CASE_bsi-lockbit-ransomware-2023,BSI-LOCKBIT-RANSOMWARE-2023 - Pada 8 Mei 2023 layanan ATM dan cabang BSI lu...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1976,0
CASE_bank-indonesia-conti-ransomware-2022,BANK-INDONESIA-CONTI-RANSOMWARE-2022 - Bank Indonesia mengonfirmasi serangan ransomw...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1251,0
CASE_indodax-crypto-hack-2024,INDODAX-CRYPTO-HACK-2024 - Pada 11 September 2024 penyerang menguras hot...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1498,0
CASE_kreditplus-data-leak-2020,KREDITPLUS-DATA-LEAK-2020 - Data ~896.169 nasabah KreditPlus dijual di Ra...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0210,0
CASE_cermati-data-breach-2020,CERMATI-DATA-BREACH-2020 - Data 2;9 juta pengguna Cermati dijual ~USD 2....,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1259,0
CASE_bri-life-data-leak-2021,BRI-LIFE-DATA-LEAK-2021 - Akhir Juli 2021 pengguna RaidForums menawarka...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1524,0
CASE_adakami-pinjol-conduct-2023,ADAKAMI-PINJOL-CONDUCT-2023 - Pada September 2023; laporan viral menuding s...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.2740,0
CASE_bank-jatim-bifast-fraud-2024,BANK-JATIM-BIFAST-FRAUD-2024 - Pada 22 Juni 2024; antara ~12.22-15.38 WIB; 4...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.2148,0
CASE_bank-dki-bifast-breach-2025,BANK-DKI-BIFAST-BREACH-2025 - Pada 29 Maret 2025 sistem pembayaran Bank DKI...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1878,0
CASE_tokopedia-91m-2020,TOKOPEDIA-91M-2020 - Maret 2020 basis data pengguna Tokopedia dicu...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0471,0
CASE_bukalapak-13m-2019,BUKALAPAK-13M-2019 - Maret 2019 Gnosticplayers menjual batch keemp...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,-0.0228,0
CASE_bhinneka-1-2m-2020,BHINNEKA-1-2M-2020 - Bhinneka.com dibobol pada 27 Januari 2020; Ju...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,-0.0582,0
CASE_lazada-redmart-1-1m-2020,LAZADA-REDMART-1-1M-2020 - Pada 29 Oktober 2020 Lazada menemukan akses i...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0779,0
CASE_indihome-browsing-26m-2022,INDIHOME-BROWSING-26M-2022 - Agustus 2022 'Bjorka' memuat dataset 26.730.7...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0714,0
CASE_myindihome-35m-2023,MYINDIHOME-35M-2023 - Awal Juli 2023 'Bjorka' menawarkan ~35;9 juta...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1098,0
CASE_pln-customer-data-leak-2022,PLN-CUSTOMER-DATA-LEAK-2022 - Agustus 2022 data >17 juta pelanggan PLN dita...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1668,0
CASE_mypertamina-44m-2022,MYPERTAMINA-44M-2022 - November 2022 dataset yang diatribusikan ke M...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0974,0
CASE_jasamarga-jmto-breach-2022,JASAMARGA-JMTO-BREACH-2022 - Pada 25 Agustus 2022 DESORDEN mengumumkan mem...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0991,0
CASE_kai-stormous-ransomware-2024,KAI-STORMOUS-RANSOMWARE-2024 - Januari 2024 Stormous mengklaim membobol PT K...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.2277,0
CASE_malindo-lionair-30m-2019,MALINDO-LIONAIR-30M-2019 - September 2019 data penumpang anak usaha Lion...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0950,0
CASE_prabowo-deepfake-aid-scam-2024,PRABOWO-DEEPFAKE-AID-SCAM-2024 - Mulai ~Desember 2024 penipu menyebar video de...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1946,0
CASE_undip-deepfake-ncii-2025,UNDIP-DEEPFAKE-NCII-2025 - Seorang mahasiswa hukum Undip diam-diam memot...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0397,0
CASE_suharto-deepfake-golkar-2024,SUHARTO-DEEPFAKE-GOLKAR-2024 - Pada 6 Januari 2024 Erwin Aksa mengunggah ke ...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0384,0
CASE_election-candidate-deepfakes-2024,ELECTION-CANDIDATE-DEEPFAKES-2024 - Menjelang Pemilu 14 Februari 2024; video deep...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.0593,0
CASE_sri-mulyani-deepfake-2025,SRI-MULYANI-DEEPFAKE-2025 - Pertengahan Agustus 2025 sebuah deepfake mema...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1782,0
CASE_ojk-ai-voice-deepfake-fraud-2025,OJK-AI-VOICE-DEEPFAKE-FRAUD-2025 - OJK melaporkan dua metode penipuan AI paling ...,IDN_PP_PSTE_No71_2019_Pasal_78,PP_PSTE_No71_2019 - Pasal 78,Natl: Binding Law,0.1764,0
CASE_pdns2-surabaya-ransomware-2024,PDNS2-SURABAYA-RANSOMWARE-2024 - Pada 20 Juni 2024 PDNS 2 Surabaya dienkripsi ...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2131,0
CASE_bkn-asn-leak-topiax-2024,BKN-ASN-LEAK-TOPIAX-2024 - Pada 10 Agustus 2024 pengguna BreachForums 'T...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2191,0
CASE_bkn-teacher-intrusion-2024,BKN-TEACHER-INTRUSION-2024 - Pada September 2024 polisi menangkap seorang ...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.0757,0
CASE_kpu-dpt-jimbo-2023,KPU-DPT-JIMBO-2023 - Sekitar 27-28 November 2023 'Jimbo' menawarka...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1983,0
CASE_bjorka-sim-registration-1-3b-2022,BJORKA-SIM-REGISTRATION-1-3B-2022 - Pada 31 Agustus-1 September 2022 'Bjorka' men...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2159,0
CASE_immigration-passport-leak-2023,IMMIGRATION-PASSPORT-LEAK-2023 - Pada 5 Juli 2023 peneliti Teguh Aprianto mela...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2557,0
CASE_npwp-tax-bjorka-2024,NPWP-TAX-BJORKA-2024 - Pada 18 September 2024 'Bjorka' menawarkan ~6...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2708,0
CASE_bais-tni-intelligence-leak-2024,BAIS-TNI-INTELLIGENCE-LEAK-2024 - Sekitar 24-27 Juni 2024 'MoonzHaxor' mengklai...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1009,0
CASE_inafis-polri-fingerprint-leak-2024,INAFIS-POLRI-FINGERPRINT-LEAK-2024 - Pada 22 Juni 2024 'MoonzHaxor' mengunggah dat...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1755,0
CASE_pedulilindungi-jokowi-cert-2021,PEDULILINDUNGI-JOKOWI-CERT-2021 - Awal September 2021 sertifikat vaksin Preside...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2381,0
CASE_kemenkes-patient-records-2022,KEMENKES-PATIENT-RECORDS-2022 - Pada 6 Januari 2022 Kemenkes mengakui menyeli...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1929,0
CASE_bpjs-kesehatan-279m-2021,BPJS-KESEHATAN-279M-2021 - Pada Mei 2021 akun RaidForums 'Kotz' menjual ...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2223,0
CASE_ehac-covid-app-leak-2021,EHAC-COVID-APP-LEAK-2021 - Pada 15 Juli 2021 tim vpnMentor menemukan bas...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1926,0
CASE_wannacry-hospitals-2017,WANNACRY-HOSPITALS-2017 - Pada pertengahan Mei 2017; saat wabah WannaCr...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2248,0
CASE_pedulilindungi-id-gambling-hijack-2025,PEDULILINDUNGI-ID-GAMBLING-HIJACK-2025 - Sekitar 19-20 Mei 2025 situs legacy PeduliLin...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.3487,0
CASE_satusehat-kotim-breach-2025,SATUSEHAT-KOTIM-BREACH-2025 - Sekitar 7 Agustus 2025 pengguna baru forum da...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2187,0
CASE_kemendikbud-leak-claim-2025,KEMENDIKBUD-LEAK-CLAIM-2025 - Awal Februari 2025 anggota BreachForums (teri...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1525,0
CASE_kejaksaan-agung-defacement-2025,KEJAKSAAN-AGUNG-DEFACEMENT-2025 - Pada Februari 2025 situs resmi Kejaksaan Agun...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2861,0
CASE_ugm-ft-website-defacement-2022,UGM-FT-WEBSITE-DEFACEMENT-2022 - Pada Desember 2022 peretas beralias 'Bangsin'...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1057,0
CASE_bsi-lockbit-ransomware-2023,BSI-LOCKBIT-RANSOMWARE-2023 - Pada 8 Mei 2023 layanan ATM dan cabang BSI lu...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.0763,0
CASE_bank-indonesia-conti-ransomware-2022,BANK-INDONESIA-CONTI-RANSOMWARE-2022 - Bank Indonesia mengonfirmasi serangan ransomw...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2391,0
CASE_indodax-crypto-hack-2024,INDODAX-CRYPTO-HACK-2024 - Pada 11 September 2024 penyerang menguras hot...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.0752,0
CASE_kreditplus-data-leak-2020,KREDITPLUS-DATA-LEAK-2020 - Data ~896.169 nasabah KreditPlus dijual di Ra...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2446,0
CASE_cermati-data-breach-2020,CERMATI-DATA-BREACH-2020 - Data 2;9 juta pengguna Cermati dijual ~USD 2....,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2080,0
CASE_bri-life-data-leak-2021,BRI-LIFE-DATA-LEAK-2021 - Akhir Juli 2021 pengguna RaidForums menawarka...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1110,0
CASE_adakami-pinjol-conduct-2023,ADAKAMI-PINJOL-CONDUCT-2023 - Pada September 2023; laporan viral menuding s...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1873,0
CASE_bank-jatim-bifast-fraud-2024,BANK-JATIM-BIFAST-FRAUD-2024 - Pada 22 Juni 2024; antara ~12.22-15.38 WIB; 4...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1250,0
CASE_bank-dki-bifast-breach-2025,BANK-DKI-BIFAST-BREACH-2025 - Pada 29 Maret 2025 sistem pembayaran Bank DKI...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1003,0
CASE_tokopedia-91m-2020,TOKOPEDIA-91M-2020 - Maret 2020 basis data pengguna Tokopedia dicu...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1855,0
CASE_bukalapak-13m-2019,BUKALAPAK-13M-2019 - Maret 2019 Gnosticplayers menjual batch keemp...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1507,0
CASE_bhinneka-1-2m-2020,BHINNEKA-1-2M-2020 - Bhinneka.com dibobol pada 27 Januari 2020; Ju...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1686,0
CASE_lazada-redmart-1-1m-2020,LAZADA-REDMART-1-1M-2020 - Pada 29 Oktober 2020 Lazada menemukan akses i...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1990,0
CASE_indihome-browsing-26m-2022,INDIHOME-BROWSING-26M-2022 - Agustus 2022 'Bjorka' memuat dataset 26.730.7...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2436,0
CASE_myindihome-35m-2023,MYINDIHOME-35M-2023 - Awal Juli 2023 'Bjorka' menawarkan ~35;9 juta...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1832,0
CASE_pln-customer-data-leak-2022,PLN-CUSTOMER-DATA-LEAK-2022 - Agustus 2022 data >17 juta pelanggan PLN dita...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2881,0
CASE_mypertamina-44m-2022,MYPERTAMINA-44M-2022 - November 2022 dataset yang diatribusikan ke M...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1463,0
CASE_jasamarga-jmto-breach-2022,JASAMARGA-JMTO-BREACH-2022 - Pada 25 Agustus 2022 DESORDEN mengumumkan mem...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2132,0
CASE_kai-stormous-ransomware-2024,KAI-STORMOUS-RANSOMWARE-2024 - Januari 2024 Stormous mengklaim membobol PT K...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2665,0
CASE_malindo-lionair-30m-2019,MALINDO-LIONAIR-30M-2019 - September 2019 data penumpang anak usaha Lion...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.3383,0
CASE_prabowo-deepfake-aid-scam-2024,PRABOWO-DEEPFAKE-AID-SCAM-2024 - Mulai ~Desember 2024 penipu menyebar video de...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.2035,0
CASE_undip-deepfake-ncii-2025,UNDIP-DEEPFAKE-NCII-2025 - Seorang mahasiswa hukum Undip diam-diam memot...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1002,0
CASE_suharto-deepfake-golkar-2024,SUHARTO-DEEPFAKE-GOLKAR-2024 - Pada 6 Januari 2024 Erwin Aksa mengunggah ke ...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1575,0
CASE_election-candidate-deepfakes-2024,ELECTION-CANDIDATE-DEEPFAKES-2024 - Menjelang Pemilu 14 Februari 2024; video deep...,IDN_PP_PSTE_No71_2019_Pasal_79,PP_PSTE_No71_2019 - Pasal 79,Natl: Binding Law,0.1289,0
